search URL:,https://patents.google.com/?q=%28logistics+automation+inventory+management+distribution+system+freight+management+warehousing+supply+chain+or+transportation%29&page=1&oq=logistics+or+automation+or+inventory+management+or+distribution+system+or+freight+management+or+warehousing+or+supply+chain+or+transportation
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-101482615-B,System for determining a relative location of a plurality ofitems upon a plurality of platforms ,埃森哲环球服务有限公司,"O·克伦纳, L·J·法因比尔, L·席特克",2007-05-30,2008-05-30,2012-07-04,2012-07-04,https://patents.google.com/patent/CN101482615B/en,https://patentimages.storage.googleapis.com/71/e2/1e/52fde0f898ae03/S2008101098247E00021.png
CN-112581224-A,Import and export trade goods management method ,昆山华东资讯科技有限公司,单平安,2020-12-15,2020-12-15,2021-03-30,,https://patents.google.com/patent/CN112581224A/en,
CN-101493911-A,Virtual inventory management system for harbor equipment manufacturing enterprise ,上海海事大学,"陈淮莉, 黄有方, 丁以中, 杨斌",2009-01-09,2009-01-09,2009-07-29,,https://patents.google.com/patent/CN101493911A/en,https://patentimages.storage.googleapis.com/e8/df/ed/575bc3f1336992/A20091004513300131.png
KR-100793198-B1,Automated warehouse ,무라타 기카이 가부시키가이샤,"마사토 이시다, 요시노리 미타",2004-12-02,2005-12-01,2008-01-10,2008-01-10,https://patents.google.com/patent/KR100793198B1/en,https://patentimages.storage.googleapis.com/8c/8c/79/0ae767b6045036/112006040885230-pct00001.png
US-7423534-B2,Electronic method and system for monitoring containers and products ,Ford Motor Company,"Smriti Gandhi Dhanjal, Rafael Melendez, Nicholas Griffin",2006-01-13,2006-01-13,2008-09-09,2008-09-09,https://patents.google.com/patent/US7423534B2/en,https://patentimages.storage.googleapis.com/21/9b/8b/6ab62b8d2775e0/US07423534-20080909-D00000.png
US-2009307265-A1,Method of operating a warehouse ,Exel Inc.,"Jerry Scott Nicholson, Mark William Phillips",2008-06-06,2008-06-06,2009-12-10,,https://patents.google.com/patent/US20090307265A1/en,https://patentimages.storage.googleapis.com/d6/89/89/de5b9a6a5a3d53/US20090307265A1-20091210-D00000.png
EP-1818286-B1,Storing system ,Murata Kikai Kabushiki Kaisha,"Masato MURATA SYSTEMS KABUSHIKI KAISHA ISHIDA, Yoshinori MURATA SYSTEMS KABUSHIKI KAISHA MITTA",2004-12-02,2005-12-01,2012-04-25,2012-04-25,https://patents.google.com/patent/EP1818286B1/en,https://patentimages.storage.googleapis.com/a4/f6/48/c6386348fd58c5/imgf0001.png
CN-102496101-A,Logistics supply chain management system ,芜湖安得物流股份有限公司,"卢立新, 卢少艺, 谢文敏, 陈俊金, 谭一军, 陈居文, 詹昌四, 王荣亮, 范佳佐, 王世俊",2011-12-16,2011-12-16,2012-06-13,,https://patents.google.com/patent/CN102496101A/en,
CN-202331521-U,Automatic warehouse logistics management system based on RFID (Radio Frequency Identification) ,浙江商业职业技术学院,"沈丽梅, 徐伟, 孙晓敏",2011-12-06,2011-12-06,2012-07-11,2012-07-11,https://patents.google.com/patent/CN202331521U/en,https://patentimages.storage.googleapis.com/ad/ac/ce/bc9b727e592b98/HDA0000116472830000011.png
CN-206627997-U,A kind of article based on RFID technique goes out Input System automatically ,东南大学,"张永, 米倩男, 刘益昶",2017-03-15,2017-03-15,2017-11-10,2017-11-10,https://patents.google.com/patent/CN206627997U/en,
KR-101208754-B1,Method for Managing Pallet distribution using barcode and RFID tag ,현대중공업 주식회사,현정미,2008-11-07,2008-11-07,2012-12-05,2012-12-05,https://patents.google.com/patent/KR101208754B1/en,https://patentimages.storage.googleapis.com/b5/e4/85/d6492750bc43aa/112008077127444-pat00001.png
CN-115375523-A,Scheduling method and system based on intelligent warehousing transmission device ,安徽宇升智能装备有限公司,"江银兵, 姚观南, 周守斌, 张勇",2022-08-01,2022-08-01,2022-11-22,,https://patents.google.com/patent/CN115375523A/en,https://patentimages.storage.googleapis.com/08/cb/6f/38d153eb03b9f0/HDA0003774698060000011.png
CN-111967824-A,Logistics storage management system and method based on Internet of things ,江苏西点物流有限公司,"黄小华, 曾志云",2020-08-18,2020-08-18,2020-11-20,,https://patents.google.com/patent/CN111967824A/en,https://patentimages.storage.googleapis.com/ef/7a/09/40ad69b0126e17/HDA0002637231330000011.png
US-2008100445-A1,Method and system for tracking clustered items ,Sirit Technologies Inc.,"Clifford Horwitz, William Davidson",1999-12-16,2007-12-28,2008-05-01,,https://patents.google.com/patent/US20080100445A1/en,https://patentimages.storage.googleapis.com/80/31/1a/dd110110ba45b7/US20080100445A1-20080501-D00000.png
CN-108320114-A,A kind of intelligent logistics system design of technology of Internet of things ,长沙青核桃网络科技有限公司,不公告发明人,2017-01-18,2017-01-18,2018-07-24,,https://patents.google.com/patent/CN108320114A/en,
JP-2010280475-A,"Device for controlling warehousing to automated warehouse, device for controlling delivery from automated warehouse, and automated warehouse system ","Toyota Motor Corp, トヨタ自動車株式会社","Nobuo Matsuura, 亘男 松浦",2009-06-04,2009-06-04,2010-12-16,,https://patents.google.com/patent/JP2010280475A/en,https://patentimages.storage.googleapis.com/b2/26/73/8e4c6e2bc32f63/2010280475-3.png
CN-112150057-A,Logistics management system ,江苏柏盛国际物流股份有限公司,蔡岚,2020-04-27,2020-04-27,2020-12-29,,https://patents.google.com/patent/CN112150057A/en,https://patentimages.storage.googleapis.com/d1/b9/36/adc611513d58f3/HDA0002469121570000011.png
CN-106651258-A,Retail product inventory management system ,黑龙江农业工程职业学院,"徐伟, 张晓峰, 车翼飞, 鄢长卿, 解朦, 张茂桐",2016-12-14,2016-12-14,2017-05-10,,https://patents.google.com/patent/CN106651258A/en,
US-2006224459-A1,Incoming/outgoing goods management system and incoming/outgoing goods management method ,"Hitachi, Ltd.","Koji Aramaki, Kei Suzuki",2005-03-30,2006-01-05,2006-10-05,,https://patents.google.com/patent/US20060224459A1/en,https://patentimages.storage.googleapis.com/84/e3/50/0588e1178b0c39/US20060224459A1-20061005-D00000.png
CN-102737299-B,Platform for carrying out logistics capacity management by utilizing radio frequency identification system ,中国钢铁股份有限公司,"陈笔琪, 薛铭德, 王一清, 蔡坤玉, 郭苗湖",2011-04-08,2011-06-24,2016-03-16,2016-03-16,https://patents.google.com/patent/CN102737299B/en,
US-11748705-B2,Automotive asset location management systems and methods ,"Surgere, Llc","William WAPPLER, David Hampton, Robert Fink, Michael Curran",2017-04-13,2022-10-14,2023-09-05,2023-09-05,https://patents.google.com/patent/US11748705B2/en,https://patentimages.storage.googleapis.com/63/88/8c/3cc14b21f4a351/US11748705-20230905-D00000.png
CN-109559074-A,A kind of new-type logistics supply chain management system ,南京同盛科技发展有限公司,徐亚,2018-10-29,2018-10-29,2019-04-02,,https://patents.google.com/patent/CN109559074A/en,
KR-20090112897-A,System for managing goods using ubiqutiors sensor network ,순천대학교 산학협력단,"노귀용, 정창렬, 이성근, 고진광",2008-04-25,2008-04-25,2009-10-29,,https://patents.google.com/patent/KR20090112897A/en,https://patentimages.storage.googleapis.com/21/f1/cd/e2240f542e775c/112008029761142-PAT00001.png
US-8463426-B1,Computerized bulk parts control system and method ,"Honda Motor Co., Ltd., Midwest Express Inc.","Carla Rogers, Veronica Harden, Nancy Baker, Kazuhiko Honda",2009-10-29,2009-10-29,2013-06-11,2013-06-11,https://patents.google.com/patent/US8463426B1/en,https://patentimages.storage.googleapis.com/9b/4c/4d/23f53e36213ffd/US08463426-20130611-D00000.png
CN-114707919-A,"RFID-based material inspection, storage and distribution full-chain visualization system ","国网山东省电力公司莱芜供电公司, 国家电网有限公司","王晓军, 夏坤, 宋健, 马帅, 焦平洋, 王西芝, 燕颖, 段元栋, 闫传文, 王伟, 刘峰, 关朋",2021-12-28,2021-12-28,2022-07-05,,https://patents.google.com/patent/CN114707919A/en,https://patentimages.storage.googleapis.com/f3/08/ca/b8a9db11341bd3/HDA0003438665550000011.png
KR-20160003612-A,Managemant system of parcel service company or its method ,박준용,박준용,2015-12-21,2015-12-21,2016-01-11,,https://patents.google.com/patent/KR20160003612A/en,https://patentimages.storage.googleapis.com/62/63/fe/1e60188c9dc042/pat00001.png
CN-102446281-B,Cigarette warehousing system based on underground RFID (Radio Frequency Identification) goods position tags ,浙江中烟工业有限责任公司,"陆海良, 王正敏, 郁钢, 高扬华, 叶斌, 尚伟, 王毅君, 盛佳绮",2011-09-16,2011-09-16,2014-12-10,2014-12-10,https://patents.google.com/patent/CN102446281B/en,
CN-105243530-A,RFID technology based warehouse logistics management system ,苏州研博环保节能科技有限公司,郭永,2015-09-26,2015-09-26,2016-01-13,,https://patents.google.com/patent/CN105243530A/en,
CN-109919549-A,A kind of harbour Third Party Logistics Management Information System based on three layers of B/S mode ,大连大学,"鲁渤, 鲁文頔",2019-03-07,2019-03-07,2019-06-21,,https://patents.google.com/patent/CN109919549A/en,
KR-20150089794-A,replenishment method of picking location in warehouse management system ,주식회사 포워드벤처스,정진형,2014-01-28,2014-01-28,2015-08-05,,https://patents.google.com/patent/KR20150089794A/en,https://patentimages.storage.googleapis.com/66/65/02/ca5e81cfddc66e/pat00001.png
CN-114154931-A,Storage management system and method based on Internet of things and big data ,吴旻,吴旻,2021-12-06,2021-12-06,2022-03-08,,https://patents.google.com/patent/CN114154931A/en,https://patentimages.storage.googleapis.com/b2/12/41/51434c1f55c4f4/HDA0003393924620000011.png
CN-106022682-A,Floor stock intelligent batching system ,苏州得尔达国际物流有限公司,"朱启慰, 吴黎明",2016-05-17,2016-05-17,2016-10-12,,https://patents.google.com/patent/CN106022682A/en,
US-7307536-B2,Portable deployment kit for nested visibility ,"Savi Technology, Inc.","David L. Shannon, Steven J. Farrell, Stephen J. Lambright, Roderick E. Thorne, Blair B. LaCorte, Ravindra U. Rajapakse, Leo S. Chang",2004-05-06,2005-11-02,2007-12-11,2007-12-11,https://patents.google.com/patent/US7307536B2/en,https://patentimages.storage.googleapis.com/34/d0/98/e427ac4c33d6db/US07307536-20071211-D00000.png
KR-100939108-B1,Freight Trace system by applying RFID in Bill of Landing and The Managing Method Thereof ,조성훈,조성훈,2007-11-23,2007-11-23,2010-01-28,2010-01-28,https://patents.google.com/patent/KR100939108B1/en,https://patentimages.storage.googleapis.com/16/8d/c7/80d537aebe833b/112007084537772-pat00001.png
US-2008294488-A1,Supply chain management system ,Hussmann Corporation,"Manish G. Gupta, Michael J. Higgins, John Roche, Dennis G. Gipson, Brian Hostetler",2007-05-25,2008-05-22,2008-11-27,,https://patents.google.com/patent/US20080294488A1/en,https://patentimages.storage.googleapis.com/04/24/f8/045150d9327999/US20080294488A1-20081127-D00000.png
CN-105184535-A,Intelligent logistics and transport system of agricultural products ,苏州田园优贡电子商务有限公司,张晨,2015-09-30,2015-09-30,2015-12-23,,https://patents.google.com/patent/CN105184535A/en,
CN-104123627-A,RFID (Radio Frequency Identification Devices) technology based commodity supply chain system structure ,唐肖近,唐肖近,2014-07-17,2014-07-17,2014-10-29,,https://patents.google.com/patent/CN104123627A/en,
CN-101663626-A,The equipment and the machine-readable medium of assembling and containment and transport of objects in security context ,艾里斯控股有限责任公司,"罗纳德·D.·法克特, 罗伯特·威廉·格兰姆斯",2007-04-09,2008-04-08,2010-03-03,,https://patents.google.com/patent/CN101663626A/en,https://patentimages.storage.googleapis.com/30/9e/50/0850e5a927c40b/A2008800112460018H1.png
WO-2014025270-A1,"Automated storage and picking system, especially for pharmaceutics and/or dietary supplements ",Nutrifarm Sp. Z.O.O.,"Marcin JEDLIŃSKI, Rafal JEDLIŃSKI, Artur SZTOGRIN",2012-08-07,2012-09-11,2014-02-13,,https://patents.google.com/patent/WO2014025270A1/en,
US-2006250249-A1,Self describing RFID chains to validate parts in bills-of-material or manifest when disconnected from server ,"Konaware, Inc.",Wesley Cheng,2005-04-08,2006-04-05,2006-11-09,,https://patents.google.com/patent/US20060250249A1/en,https://patentimages.storage.googleapis.com/93/af/dc/24b069ef3fb3cf/US20060250249A1-20061109-D00000.png
RU-2728797-C2,System and method for tracking items in a supply chain or values without feedback ,Стора Энсо Ойй,"Юха МАИЯЛА, Петри СИРВИЁ",2015-10-08,2016-10-05,2020-07-31,2020-07-31,https://patents.google.com/patent/RU2728797C2/en,https://patentimages.storage.googleapis.com/62/2b/bc/1a335beb040782/00000002.png
CN-114026582-B,Site matching for asset tracking ,集保技术私人有限公司,"沙达·康纳斯, 布赖恩·李",2018-12-27,2019-12-24,2023-12-22,2023-12-22,https://patents.google.com/patent/CN114026582B/en,
WO-2021068700-A1,"Warehousing goods update method and apparatus, and logistics system ",炬星科技（深圳）有限公司,"杨志钦, 郑晓琨",2019-10-08,2020-09-08,2021-04-15,,https://patents.google.com/patent/WO2021068700A1/en,
CN-103295110-A,Modern logistics information system based on hazardous chemical substance transportation ,江阴中科今朝科技有限公司,"余意, 杨芳, 胡鹏, 郭炳元",2012-03-03,2012-03-03,2013-09-11,,https://patents.google.com/patent/CN103295110A/en,https://patentimages.storage.googleapis.com/f2/a0/7b/ad767657c573ae/120303083149.png
CN-117422377-A,Warehouse management system capable of automatically sorting ,鸿翔供应链科技(北京)有限公司,张欠男,2023-10-30,2023-10-30,2024-01-19,,https://patents.google.com/patent/CN117422377A/en,
CN-112623602-B,Automatic unloading and stacking method for logistics warehouse ,泓昇(天津)科技有限公司,周泓霖,2021-03-10,2021-03-10,2021-07-23,2021-07-23,https://patents.google.com/patent/CN112623602B/en,https://patentimages.storage.googleapis.com/87/8e/d3/ccffd4aa7abca3/210309112326.png
CN-112150069-B,Cross-border logistics operation and maintenance optimization management system ,中武(福建)跨境电子商务有限责任公司,郭珅,2020-09-24,2020-09-24,2022-03-18,2022-03-18,https://patents.google.com/patent/CN112150069B/en,https://patentimages.storage.googleapis.com/96/ba/f1/96a200a032719f/HDA0002700065150000011.png
JP-7382981-B2,Warehousing management system ,株式会社日立製作所,"達矢 小野, 誠也 伊藤",2021-03-05,2021-03-05,2023-11-17,2023-11-17,https://patents.google.com/patent/JP7382981B2/en,https://patentimages.storage.googleapis.com/de/bf/7b/425ed9d2037bc1/0007382981000001.png
KR-20150089795-A,method of managing expiration date in warehouse management system ,주식회사 포워드벤처스,정진형,2014-01-28,2014-01-28,2015-08-05,,https://patents.google.com/patent/KR20150089795A/en,https://patentimages.storage.googleapis.com/25/23/f3/781077bdc68b68/pat00001.png
CN-114653604-A,RFID-based rapid sorting and boxing method combined with in-warehouse management ,"大唐互联科技(武汉)有限公司, 大唐融合通信股份有限公司","陈秋芬, 徐军, 李军, 章书乐, 詹开洪, 何宁波",2022-02-24,2022-02-24,2022-06-24,,https://patents.google.com/patent/CN114653604A/en,https://patentimages.storage.googleapis.com/d0/b0/12/2ba35e9e52c852/HDA0003519487050000011.png
JP-2009256091-A,Load managing method in distribution system ,"Toyota Industries Corp, 株式会社豊田自動織機","Shinkan Inoue, 真完 井上",2008-04-21,2008-04-21,2009-11-05,,https://patents.google.com/patent/JP2009256091A/en,https://patentimages.storage.googleapis.com/dc/32/20/4f6caa5727d0d1/2009256091-3.png
KR-20210073158-A,Inventory Management System Using IoT ,"동명대학교산학협력단, (주)도울정보기술","오암석, 강병철",2019-12-10,2019-12-10,2021-06-18,,https://patents.google.com/patent/KR20210073158A/en,https://patentimages.storage.googleapis.com/1a/59/d2/7aa8f03eee23d9/pat00001.png
US-7252230-B1,Method and apparatus for real-time tracking of inventory using active RFID technology ,"Cisco Technology, Inc.","Waseem Aman Sheikh, Brian P. Suckow, Dave Evans",2005-05-09,2005-05-09,2007-08-07,2007-08-07,https://patents.google.com/patent/US7252230B1/en,https://patentimages.storage.googleapis.com/81/2d/ad/8aba1fdb59102d/US07252230-20070807-D00000.png
CN-102521725-A,RFID-based warehouse management system ,芜湖安得物流股份有限公司,"王鲲, 卢少艺, 崔良武, 刘敬, 郭学成, 张立艮",2011-12-16,2011-12-16,2012-06-27,,https://patents.google.com/patent/CN102521725A/en,https://patentimages.storage.googleapis.com/a1/ad/90/10ebae15d62e9c/HSA00000637904200011.png
US-7327262-B2,System and method for electronic article surveillance ,Mantic Point Solutions Limited,"Bryan David Motteram, Paul Eric Vallender, Darren John Marsden",2005-10-12,2005-10-12,2008-02-05,2008-02-05,https://patents.google.com/patent/US7327262B2/en,https://patentimages.storage.googleapis.com/e8/df/1b/ed83fabf56fceb/US07327262-20080205-D00000.png
CN-112488611-A,Logistics information management system based on RFID ,苏州云首软件科技有限公司,汤湘雯,2020-11-26,2020-11-26,2021-03-12,,https://patents.google.com/patent/CN112488611A/en,https://patentimages.storage.googleapis.com/86/d9/1b/f78d75ee9f19e3/HDA0002800433040000011.png
CN-108898352-A,RFID intelligent warehouse management system ,重庆长安民生物流股份有限公司,"邹泓兵, 黄梦如, 叶心如, 龚隆有, 李想, 胡小林, 余跃, 曲江磊, 王开林, 陈劲松, 赵青松",2018-09-21,2018-09-21,2018-11-27,,https://patents.google.com/patent/CN108898352A/en,
KR-20150089793-A,method of processing pick and pass framework in warehouse management system ,주식회사 포워드벤처스,정진형,2014-01-28,2014-01-28,2015-08-05,,https://patents.google.com/patent/KR20150089793A/en,https://patentimages.storage.googleapis.com/01/9a/ec/e7e2f3bccb6374/pat00001.png
KR-20060055581-A,Method and system for warehouse location management using rfid ,정현철,정현철,2004-11-17,2004-11-17,2006-05-23,,https://patents.google.com/patent/KR20060055581A/en,https://patentimages.storage.googleapis.com/6a/62/65/169b6bf6a9ecc9/112004053318479-PAT00001.png
CN-202257618-U,Cigarette warehousing system based on buried radio frequency identification (RFID) goods position tag ,浙江中烟工业有限责任公司,"陆海良, 王正敏, 郁钢, 高扬华, 叶斌, 尚伟, 王毅君",2011-09-16,2011-09-16,2012-05-30,2012-05-30,https://patents.google.com/patent/CN202257618U/en,https://patentimages.storage.googleapis.com/99/53/57/b6729f1d89f203/110915170855.png
CN-109795828-B,Lightweight logistics automation system method based on Internet of things technology ,华清科盛(北京)信息技术有限公司,"王凡, 李磊",2019-01-25,2019-01-25,2022-01-11,2022-01-11,https://patents.google.com/patent/CN109795828B/en,https://patentimages.storage.googleapis.com/3a/ae/f3/ce92ed62dfa5e4/190125101614.png
CN-109325719-A,Intelligence production turnover method based on RFID ,重庆长安民生物流股份有限公司,"邹泓兵, 黄梦如, 叶心如, 龚隆有, 李想, 胡小林, 余跃, 曲江磊, 王开利, 陈劲松, 赵青松",2018-09-21,2018-09-21,2019-02-12,,https://patents.google.com/patent/CN109325719A/en,
CN-114841646-A,"Storage management method, device, computer equipment, system and storage medium ","珠海格力智能装备有限公司, 珠海格力电器股份有限公司","陈芷晴, 李德权, 李博, 侯书玉, 吴志伟, 张喜斌",2022-05-12,2022-05-12,2022-08-02,,https://patents.google.com/patent/CN114841646A/en,https://patentimages.storage.googleapis.com/66/e9/67/6fcb0715c24762/HDA0003640281420000011.png
TW-510998-B,On-site production management and storage system ,Mitac Int Corp,Chih-Hung Chien,2001-05-08,2001-05-08,2002-11-21,2002-11-21,https://patents.google.com/patent/TW510998B/en,
CN-116128409-A,Sharing management system based on storage real-time data ,厦门汇仓配物联网科技有限公司,"刘治光, 连艳群",2023-01-17,2023-01-17,2023-05-16,,https://patents.google.com/patent/CN116128409A/en,https://patentimages.storage.googleapis.com/76/80/b8/f1f2ee25cc76cb/HDA0004061510330000011.png
CN-103593750-A,Radiofrequency identification (RFID) based supply chain management (SCM) tracking system ,中国建筑第八工程局有限公司,"王静, 马荣全, 王桂玲, 苗冬梅",2013-11-29,2013-11-29,2014-02-19,,https://patents.google.com/patent/CN103593750A/en,https://patentimages.storage.googleapis.com/7f/82/df/1d3dec72bcf65a/HDA0000426793530000011.png
CN-109858791-B,Logistics flowing method and system ,江西银河表计有限公司,"陶保荣, 罗修敏, 雷云波",2019-01-23,2019-01-23,2021-04-23,2021-04-23,https://patents.google.com/patent/CN109858791B/en,https://patentimages.storage.googleapis.com/c0/35/62/a3d8a8189d5fad/HDA0001954227080000011.png
CN-112907166-A,Warehouse logistics data sharing system ,北京孵家科技股份有限公司,"朱鹏播, 朱紫成",2021-01-27,2021-01-27,2021-06-04,,https://patents.google.com/patent/CN112907166A/en,https://patentimages.storage.googleapis.com/2e/8d/bf/51c5077d858445/HDA0002919029880000011.png
US-10106316-B2,Cargo carousel system for shipping containers and method for using same ,Glen Munholland,Glen Munholland,2014-04-25,2018-03-29,2018-10-23,2018-10-23,https://patents.google.com/patent/US10106316B2/en,https://patentimages.storage.googleapis.com/0b/f2/7e/649079744cff23/US10106316-20181023-D00000.png
